Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10u/25V","CP_EIA-6032-20_AVX-F_Pad2.25x2.35mm_HandSolder",5.000000,33.000000,0.000000,top
"C2","100n","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",4.500000,29.500000,0.000000,top
"C3","100n","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",4.500000,19.500000,0.000000,top
"C4","10u/10V","CP_EIA-3216-12_Kemet-S_Pad1.58x1.35mm_HandSolder",4.500000,17.000000,0.000000,top
"C5","100n","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",17.000000,7.000000,90.000000,top
"C6","10n","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",19.000000,25.000000,90.000000,top
"C8","100n","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",26.000000,32.000000,180.000000,top
"C9","100n","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",25.000000,17.000000,180.000000,top
"C10","100n","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",26.000000,30.000000,180.000000,top
"C11","22p","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",34.000000,16.000000,270.000000,top
"C12","22p","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",30.500000,13.000000,0.000000,top
"C13","1n","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",26.000000,37.500000,180.000000,top
"C14","1n","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",19.500000,37.500000,180.000000,top
"D1","TS4148","D_0805_2012Metric",3.500000,36.500000,0.000000,top
"D2","TS4148","D_0805_2012Metric",4.500000,6.000000,0.000000,top
"D3","TS4148","D_0805_2012Metric",33.500000,3.500000,90.000000,top
"D4","Red","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",33.000000,10.500000,0.000000,top
"D5","Grn","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",30.500000,32.000000,0.000000,top
"FID1","Fiducial","Fiducial_1mm_Mask2mm",1.500000,1.500000,0.000000,top
"FID2","Fiducial","Fiducial_1mm_Mask2mm",48.500000,48.500000,0.000000,top
"Q1","BC846","SOT-23",33.000000,7.500000,0.000000,top
"R1","1k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",26.000000,11.750000,270.000000,top
"R2","1k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",14.500000,7.000000,90.000000,top
"R3","1k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",12.000000,7.000000,90.000000,top
"R4","1k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",29.000000,10.500000,0.000000,top
"R5","1k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",30.500000,30.000000,180.000000,top
"R6","1k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",30.000000,7.500000,90.000000,top
"R7","1M","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",30.000000,37.500000,180.000000,top
"R8","1M","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",27.000000,35.500000,180.000000,top
"SW1","SETTINGS","SW_DIP_SPSTx03_Slide_6.7x9.18mm_W8.61mm_P2.54mm_LowProfile",43.500000,32.500000,0.000000,top
"U1","L7805","TO-252-2",7.500000,24.500000,0.000000,top
"U2","ATmega328-AU","TQFP-32_7x7mm_P0.8mm",26.000000,23.500000,90.000000,top
"Y1","16Mhz","Crystal_SMD_3225-4Pin_3.2x2.5mm",30.500000,16.000000,180.000000,top
